"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","rexhuang-Predator-G3-572",,,,"User:","root"
"Cmdline:","dstat -C 0,1,2,3,4,5,6,7,total --output /home/rexhuang/program/Homework/operating_systems/thread/thread12_cpu.csv",,,,"Date:","23 Oct 2020 15:18:30 CST"
"cpu0 usage",,,,,"cpu1 usage",,,,,"cpu2 usage",,,,,"cpu3 usage",,,,,"cpu4 usage",,,,,"cpu5 usage",,,,,"cpu6 usage",,,,,"cpu7 usage",,,,,"total cpu usage",,,,,"dsk/total",,"net/total",,"paging",,"system",
"cpu0 usage:usr","cpu0 usage:sys","cpu0 usage:idl","cpu0 usage:wai","cpu0 usage:stl","cpu1 usage:usr","cpu1 usage:sys","cpu1 usage:idl","cpu1 usage:wai","cpu1 usage:stl","cpu2 usage:usr","cpu2 usage:sys","cpu2 usage:idl","cpu2 usage:wai","cpu2 usage:stl","cpu3 usage:usr","cpu3 usage:sys","cpu3 usage:idl","cpu3 usage:wai","cpu3 usage:stl","cpu4 usage:usr","cpu4 usage:sys","cpu4 usage:idl","cpu4 usage:wai","cpu4 usage:stl","cpu5 usage:usr","cpu5 usage:sys","cpu5 usage:idl","cpu5 usage:wai","cpu5 usage:stl","cpu6 usage:usr","cpu6 usage:sys","cpu6 usage:idl","cpu6 usage:wai","cpu6 usage:stl","cpu7 usage:usr","cpu7 usage:sys","cpu7 usage:idl","cpu7 usage:wai","cpu7 usage:stl","total cpu usage:usr","total cpu usage:sys","total cpu usage:idl","total cpu usage:wai","total cpu usage:stl","read","writ","recv","send","in","out","int","csw"
2,1,96,1,0,1,0,99,0,0,97.980,2.020,0,0,0,0,0,100,0,0,0.990,0,99.010,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,12.734,0.375,86.642,0.250,0,0,278528,320,184,0,0,654,872
0.990,0,99.010,0,0,0,0,100,0,0,97,3,0,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0.990,99.010,0,0,12.406,0.376,87.218,0,0,0,0,98,210,0,0,606,998
83.838,1.010,15.152,0,0,83,1,16,0,0,96,4,0,0,0,83.838,1.010,15.152,0,0,82,2,16,0,0,81.818,2.020,16.162,0,0,82,2,16,0,0,83,2,15,0,0,84.336,2.005,13.659,0,0,0,0,1287,290,0,0,2923,2187
98,2,0,0,0,97,3,0,0,0,98,2,0,0,0,95.050,4.950,0,0,0,93,7,0,0,0,95.050,4.950,0,0,0,96,4,0,0,0,97.980,2.020,0,0,0,96.500,3.500,0,0,0,0,65536,94,86,0,0,3945,3773
98,2,0,0,0,98,2,0,0,0,99,1,0,0,0,96,4,0,0,0,93,7,0,0,0,99,1,0,0,0,98.020,1.980,0,0,0,96.040,3.960,0,0,0,97.004,2.871,0.125,0,0,0,16384,54,198,0,0,3515,5991
98,2,0,0,0,98.990,1.010,0,0,0,96.040,2.970,0.990,0,0,96,4,0,0,0,92.929,7.071,0,0,0,96.970,3.030,0,0,0,97,3,0,0,0,88.889,11.111,0,0,0,95.489,4.386,0.125,0,0,0,57344,596,770,0,0,2838,3003
96,4,0,0,0,98,2,0,0,0,99,1,0,0,0,96.970,3.030,0,0,0,94,6,0,0,0,98,2,0,0,0,100,0,0,0,0,96,4,0,0,0,97.125,2.875,0,0,0,0,45056,442,542,0,0,2590,1588
99,1,0,0,0,99,1,0,0,0,99,1,0,0,0,99.010,0.990,0,0,0,99,1,0,0,0,99.010,0.990,0,0,0,100,0,0,0,0,99,1,0,0,0,99.250,0.750,0,0,0,0,57344,0,0,0,0,2567,1138
99,1,0,0,0,99,1,0,0,0,99,1,0,0,0,100,0,0,0,0,99,1,0,0,0,97.980,2.020,0,0,0,100,0,0,0,0,98.020,1.980,0,0,0,99.124,0.876,0,0,0,0,0,425,415,0,0,2195,1106
99,1,0,0,0,97.030,2.970,0,0,0,94,6,0,0,0,98.020,1.980,0,0,0,95,5,0,0,0,86,14,0,0,0,95.050,4.950,0,0,0,94.949,5.051,0,0,0,94.757,5.243,0,0,0,0,0,0,0,0,0,2554,1192
99,1,0,0,0,99,1,0,0,0,98,2,0,0,0,94.949,5.051,0,0,0,91,9,0,0,0,93,7,0,0,0,100,0,0,0,0,94.059,5.941,0,0,0,96.245,3.755,0,0,0,0,0,0,0,0,0,3120,1033
98,2,0,0,0,98,2,0,0,0,99,1,0,0,0,100,0,0,0,0,99,1,0,0,0,100,0,0,0,0,98,2,0,0,0,98.990,0,1.010,0,0,98.875,1,0.125,0,0,0,16384,428,930,0,0,2288,1346
53.398,0,46.602,0,0,47.475,0,52.525,0,0,20.202,23.232,56.566,0,0,67.327,1.980,30.693,0,0,52,1,47,0,0,63,1,36,0,0,49,0,51,0,0,26.263,0,73.737,0,0,47.441,3.620,48.939,0,0,0,0,617,205,0,0,1636,1394
12.613,0,87.387,0,0,2.970,0.990,96.040,0,0,0,80.198,19.802,0,0,7,0,93,0,0,0,2.041,55.102,42.857,0,3,2,80,15,0,0,0,100,0,0,3,4,93,0,0,3.576,11.221,78.175,7.028,0,0,34975744,198,290,0,0,1834,3552
3.883,1.942,94.175,0,0,6.731,10.577,82.692,0,0,7.071,1.010,91.919,0,0,4.808,2.885,92.308,0,0,3.125,2.083,67.708,27.083,0,8.571,4.762,0.952,85.714,0,3.810,4.762,91.429,0,0,2,7,83,8,0,4.926,4.187,75.616,15.271,0,0,54644736,258,296,0,0,1667,4991
5.102,1.020,93.878,0,0,11.458,2.083,86.458,0,0,10.577,5.769,83.654,0,0,1.010,0,98.990,0,0,4.255,4.255,91.489,0,0,15.323,12.097,35.484,37.097,0,2,3,50,45,0,4.040,1.010,94.949,0,0,7.222,3.917,77.723,11.138,0,12288,79974400,442,598,0,0,2117,7622
